"The hospital should have modern, up-to-date equipment","The hospital's physical facilities should be clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees should be well-dressed and have a neat and professional appearance,Materials associated with the service should be visually appealing,"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records,The hospital's employees should tell the patient exactly when services will be performed,The hospital's employees should provide prompt service to patients,The hospital's employees should always be willing to help patients,The hospital's employees should never be too busy to respond to patients' requests,The behaviour and attitudes of hospital employees should instill confidence in patients,Patients should feel safe in all their dealings with the hospital and its employees,Hospital employees should be consistently courteous to patients,Hospital employees should be knowledgeable and able to answer patients' questions,The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients
3,4,3,3,4,4,4,2,3,3,3,4,1,3,3,3,3,2,3,4,2,2
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,4,4,4,4,3,3,4,4,3,4,3,4,4,3,4,3,3,4,3,2
4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
4,4,4,3,3,4,3,3,4,4,3,4,3,4,4,4,3,3,4,4,4,4
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,3,3,4,4,2,3,4,3,4,2,4,4,4,4,3,4,4,3,4
2,2,4,3,4,4,4,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4
3,4,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3
4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,2,3,2,3,4,3,4,4,2,4,3,4,4,4,4,4,4,4
4,4,4,3,2,4,3,3,3,4,4,4,3,3,3,3,3,4,4,3,4,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4
4,4,4,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,1,3,3,4,4,4,4,4,4,4,4,4,4,3,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
