"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing,"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records,The hospital's employees tell the patients exactly when services will be performed,The hospital's employees provide prompt service to patients,The hospital's employees are always willing to help patients,The hospital's employees are never too busy to respond to patients' requests,The behaviour and attitudes of hospital employees instill confidence in patients,Patients feel safe in all their dealings with the hospital and its employees,The hospital's employees are consistently courteous to patients,The hospital's employees are knowledgeable and able to answer patients' questions,The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients
5,5,5,5,3,5,3,4,3,4,4,5,4,5,5,5,5,4,5,5,5,5
4,4,4,4,2,4,3,3,4,3,3,5,5,4,4,5,4,3,5,5,3,5
5,5,5,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
4,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,5,4,4,4,3,4,3,4,4,5,4,3,3,4,5,4,4,4,3,5
4,5,5,5,4,4,4,4,4,5,4,4,4,5,5,4,5,4,5,5,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,4,5,4,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5
5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,4,3,4,4,4,4,4,3,4,5,3,4,4,4,4,3,4,4,3,5
3,5,3,4,3,4,3,4,4,2,4,5,5,5,4,5,5,5,5,5,5,5
4,5,4,4,3,5,4,4,4,4,4,5,3,5,4,5,5,5,5,5,5,5
5,5,4,4,4,4,4,4,4,4,4,4,3,5,5,3,4,5,4,4,4,4
4,5,4,5,4,5,3,3,4,4,4,4,3,5,4,5,5,5,5,5,4,5
4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5
4,5,3,4,3,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
5,5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,3,3,4,2,2,4,4,4,4,4,4,3,4,3,4,4
