"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records
4,4,4,2,3
4,4,4,4,4
4,4,4,4,4
4,4,4,3,3
4,4,3,3,4
3,4,4,4,4
3,4,4,4,4
3,4,3,3,4
4,4,4,3,4
4,4,4,3,4
3,4,4,2,3
4,4,4,2,3
3,3,3,3,3
4,4,4,4,4
2,3,2,3,4
2,4,3,3,3
4,4,4,4,4
4,4,4,2,4
2,3,3,3,3
4,4,4,4,4
4,4,4,3,4
4,4,4,1,3
4,4,4,4,4
